PCC,AverageWeight,Year
30021770,,2002
30021800,,2001
29712570,0.5,2002
29712570,0.5,2001
29712570,0.5,2000
29712570,0.5,1999
29712570,0.5,1998
29712570,0.6,1997
29712570,0.6,1996
29712570,0.5,2006
29712570,0.6,1994
29712570,0.5,2007
29712550,1.61,2007
29712550,1.61,2006
29712550,1.61,2005
29712550,1.61,2004
29712550,1.61,2003
29712550,1.61,2002
29712550,1.61,2001
29712550,1.61,2000
29712550,1.61,1999
29712833,9.0,1995
29712570,0.6,1995
29712690,4.0,1997
30012393,,2000
29712833,9.0,1993
29712690,4.0,2007
29712690,4.0,2006
29712690,4.0,2005
29712690,4.0,2004
29712690,4.0,2003
29712690,4.0,2002
29712690,4.0,2001
29712690,4.0,2000
29712570,0.5,2005
29712690,4.0,1998
29712550,1.61,1996
29712690,4.0,1996
29712690,4.0,1995
29712690,4.0,1994
29712690,4.0,1993
29712657,4.0,1995
29712657,4.0,1994
29712657,4.0,1993
29712655,4.0,1995
29712655,4.0,1994
29712655,4.0,1993
29712690,4.0,1999
29712493,3.57,2002
29712550,1.61,1998
29712495,,1999
29712495,,1998
29712495,,1997
29712495,,1996
29712495,,1995
29712495,,1994
29712493,3.57,2007
29712493,3.57,2006
29712493,3.57,2005
29712495,,2001
29712493,3.57,2003
29712495,,2002
29712493,3.57,2001
29712493,3.57,2000
29712493,3.57,1999
29712493,3.57,1998
29712493,3.57,1997
29712493,3.57,1996
29712493,3.57,1995
29712493,,1994
29712490,,1993
29712470,,2003
29712493,3.57,2004
29712530,,1998
29712550,1.61,1995
29712550,1.61,1994
29712550,1.61,1993
29712530,,2007
29712530,,2006
29712530,,2005
29712530,,2004
29712530,,2003
29712530,,2002
29712530,,2001
29712495,,2000
29712530,,1999
29712835,6.7,1993
29712530,,1997
29712530,,1996
29712530,,1995
29712530,,1994
29712530,,1993
29712497,,2007
29712497,,2006
29712497,,2005
29712497,,2004
29712495,,2003
29712530,,2000
30012150,,2000
30011330,,2003
30012170,113.0,2003
30012170,113.0,2002
30012170,113.0,2001
30012170,113.0,2000
30021476,,1995
30021400,7.7,2003
30021500,,2004
30021500,,2003
30021500,,2002
30021500,,2001
30021500,,2000
30021500,,1999
30021500,,1998
30021500,,1997
30021500,,1996
30021500,,2006
30021477,,1994
30021500,,2007
30021476,,1994
299900Z0,,2010
29312310,,2010
28993975,,2010
28993960,51.9,2010
28942270,,2010
28942250,,2010
26701300,,2008
26701300,,2009
26701300,,2010
32303335,,2007
28942230,,2010
28942130,45.75,2010
28931560,,2010
28304010,15.2,2010
28295000,,2010
28294350,,2010
28294330,,2010
28252070,0.53,2010
30021200,,1999
30021200,,1998
30021200,,1997
30021200,,1996
30021100,4.9,2006
30021100,4.9,2005
30021200,,2004
30021100,4.9,2003
30021200,,2005
30021100,4.9,2001
30021100,4.9,2000
30021100,4.9,1999
30021100,4.9,1998
30021100,4.9,1997
30021100,4.9,1996
30021100,4.9,1993
30021800,,2000
30021800,,1998
30021800,,1997
30021800,,1996
30021790,,2007
30021790,,2006
30021790,,2005
30021790,,2004
30021800,,2003
30021790,,2002
30021800,,2004
30021790,,2000
30021790,,1999
30021790,,1998
30021790,,1997
30021790,,1996
30021770,,2007
30021770,,2006
30021770,,2005
30021770,,2004
30021650,1.18,2002
30021790,,2003
31105040,1.54,2003
31621157,,1996
31501100,,2001
31501100,,2000
31501100,,1999
31501100,,1998
31501100,,1997
31501100,,1996
31501100,,1995
31105040,1.54,2007
31105040,1.54,2006
30021800,,2002
31105040,1.54,2004
30021770,,2001
31105040,1.54,2002
31105040,1.54,2001
31105040,1.54,2000
31105040,1.54,1999
31105040,1.54,1998
31105040,1.54,1997
31105040,1.54,1996
30021800,,2007
30021800,,2006
30021800,,2005
31105040,1.54,2005
30021670,,2005
30021770,,2003
30021730,,1998
30021730,,1997
30021730,,1996
30021677,,2001
30021677,,2000
30021677,,1999
30021677,,1998
30021677,,1997
30021677,,1996
30021730,,2000
30021670,,2006
30021730,,2001
30021670,,2004
30021670,,2003
30021670,,2002
30021670,,2001
36504355,,2007
30021670,,1999
30021670,,1997
30021670,,1996
30021650,1.18,2006
30021650,1.18,2005
30021757,,2000
30021770,,2000
30021770,,1999
30021770,,1998
30021770,,1997
30021770,,1996
30021757,,2007
30021757,,2006
30021757,,2005
30021757,,2004
30021757,,2003
30021730,,1999
30021757,,2001
30012393,,1998
30021757,,1999
30021757,,1998
30021757,,1997
30021757,,1996
30021730,,2007
30021730,,2006
30021730,,2005
30021730,,2004
30021730,,2003
30021730,,2002
30021757,,2002
29712570,0.6,1993
29712550,1.61,1997
29712570,0.5,2004
29712570,0.5,2003
30021450,,1995
30021450,,1994
30021407,,1993
30021406,,1993
30021405,,1993
30021400,7.7,2007
30021400,7.7,2006
30021400,7.7,2005
30021650,1.18,2003
30021477,,1995
30021570,,1994
30012393,,1999
30021650,1.18,2001
30021650,1.18,2000
30021650,1.18,1999
30021650,1.18,1998
30021650,1.18,1997
30021650,1.18,1996
30021600,,1993
30021590,,1995
30021590,,1994
30021500,,2005
30021570,,1995
30021400,7.7,2002
30021570,,1993
30021557,,1995
30021557,,1994
30021557,,1993
30021555,,1995
30021555,,1994
30021555,,1993
30021530,,1995
30021530,,1994
30021530,,1993
30021590,,1993
30021100,4.9,2002
30021400,7.7,2004
30021200,,2002
30021200,,2001
30021200,,2000
30012170,113.0,1999
30012170,113.0,1998
30012170,113.0,1997
30012170,113.0,1996
30012170,113.0,1995
30012170,113.0,2005
30012170,113.0,1993
30012170,113.0,2006
30012150,,1999
30012150,,1998
30012150,,1997
30012150,,1996
30012150,,1995
30012150,,1994
30012150,,1993
30011370,6.0,1995
30011370,6.0,1994
29712833,9.0,1994
30012170,113.0,1994
30012185,22.0,2005
30012393,,1997
30012393,,1996
30012200,,1995
30012190,22.0,2000
30012190,22.0,1999
30012190,22.0,1998
30012190,22.0,1997
30012190,22.0,1996
30012190,22.0,1995
30012190,22.0,1994
30012170,113.0,2004
30012185,22.0,2006
30011330,,2002
30012185,22.0,2004
30012185,22.0,2003
30012185,22.0,2002
30012185,22.0,2001
30012183,51.6,2006
30012183,51.6,2005
30012183,51.6,2004
30012183,51.6,2003
30012183,51.6,2002
30012183,51.6,2001
30012190,22.0,1993
29712835,6.7,2004
30011370,6.0,1993
30011100,,1997
30011100,,1996
30011100,,1995
30011100,,1994
30011100,,1993
299900Z0,,2009
299900Z0,,2008
29712893,,1993
29712835,6.7,2007
30011100,,1999
29712835,6.7,2005
30011100,,2000
29712835,6.7,2003
29712835,6.7,2002
29712835,6.7,2001
29712835,6.7,2000
29712835,6.7,1999
29712835,6.7,1998
29712835,6.7,1997
29712835,6.7,1996
29712835,6.7,1995
29712835,6.7,1994
29712835,6.7,2006
30011200,6.38,2002
30011330,,2001
30011330,,2000
30011330,,1999
30011330,,1998
30011330,,1997
30011330,,1996
30011330,,1995
30011330,,1994
30011330,,1993
30011320,0.2,1995
30011100,,1998
30011320,0.2,1993
31501100,,2004
30011200,6.38,2001
30011200,6.38,2000
30011200,6.38,1999
30011200,6.38,1998
30011200,6.38,1997
30011200,6.38,1996
30011200,6.38,1995
30011100,,2003
30011100,,2002
30011100,,2001
30011320,0.2,1994
31502559,,2001
31502555,,1998
31502565,,1996
31502565,,1995
31502563,,2002
31502563,,2001
31502563,,2000
31502563,,1999
31502563,,1998
31502563,,1997
31502563,,1996
31502565,,1998
31502559,,2002
31502565,,1999
31502559,,2000
31502559,,1999
31502559,,1998
31502559,,1997
31502559,,1996
31502559,,1995
31502555,,2002
31502555,,2001
31502555,,2000
31502571,,1999
31502563,,1995
31502567,,2002
31502531,,1996
31502571,,1997
31502571,,1996
31502571,,1995
31502569,,2002
31502569,,2001
31502569,,2000
31502569,,1999
31502569,,1998
31502569,,1997
31502565,,1997
31502569,,1995
31502555,,1997
31502567,,2001
31502567,,2000
31502567,,1999
31502567,,1998
31502567,,1997
31502567,,1996
31502567,,1995
31502565,,2002
31502565,,2001
31502565,,2000
31502569,,1996
31502532,,1999
31502555,,1999
31502533,,2002
31502533,,2001
31502533,,2000
31502533,,1999
31502533,,1998
31502533,,1997
31502533,,1996
31502533,,1995
31502532,,2002
31502547,,1996
31502532,,2000
31502547,,1997
31502532,,1998
31502532,,1997
31502532,,1996
31502532,,1995
31502531,,2002
31502531,,2001
31502531,,2000
31502531,,1999
31502531,,1998
31501100,,2002
31502532,,2001
31502548,,2000
31502555,,1996
31502555,,1995
31502553,,2002
31502553,,2001
31502553,,2000
31502553,,1999
31502553,,1998
31502553,,1997
31502553,,1996
31502553,,1995
31502547,,1995
31502548,,2001
31502571,,2000
31502548,,1999
31502548,,1998
31502548,,1997
31502548,,1996
31502548,,1995
31502547,,2002
31502547,,2001
31502547,,2000
31502547,,1999
31502547,,1998
31502548,,2002
31503433,,1996
31503430,,1998
31503447,,1997
31503447,,1996
31503447,,1995
31503446,,1999
31503446,,1998
31503446,,1997
31503446,,1996
31503446,,1995
31503433,,1999
31503447,,1999
31503433,,1997
31612310,,1998
31503433,,1995
31503430,,2007
31503430,,2006
31503430,,2005
31503430,,2004
31503430,,2003
31503430,,2002
31503430,,2001
31503430,,2000
31502571,,1998
31503433,,1998
31621153,,1998
31621157,,1995
31621157,,1994
31621157,,1993
31621153,,2007
31621153,,2006
31621153,,2005
31621153,,2004
31621153,,2003
31621153,,2002
31621153,,2001
31503447,,1998
31621153,,1999
31503430,,1997
31621150,,1993
31612310,,2007
31612310,,2006
31612310,,2005
31612310,,2004
31612310,,2003
31612310,,2002
31612310,,2001
31612310,,2000
31612310,,1999
31621153,,2000
31503200,0.4,1995
31503430,,1999
31503200,0.4,2006
31503200,0.4,2005
31503200,0.4,2004
31503200,0.4,2003
31503200,0.4,2002
31503200,0.4,2001
31503200,0.4,2000
31503200,0.4,1999
31503200,0.4,1998
31503300,,1995
31503200,0.4,1996
31503300,,1996
31502579,,2002
31502579,,2001
31502579,,2000
31502579,,1999
31502579,,1998
31502579,,1997
31502579,,1996
31502579,,1995
31502571,,2002
31502571,,2001
31503200,0.4,1997
31503305,,1996
31503430,,1996
31503430,,1995
31503305,,2007
31503305,,2006
31503305,,2005
31503305,,2004
31503305,,2003
31503305,,2002
31503305,,2001
31503305,,1999
31503200,0.4,2007
31503305,,1997
31502531,,1995
31503305,,1995
31503303,,1999
31503303,,1998
31503303,,1997
31503303,,1996
31503303,,1995
31503300,,2000
31503300,,1999
31503300,,1998
31503300,,1997
31503305,,1998
31501510,,2004
31501493,,2007
31501530,0.11,2002
31501530,0.11,2001
31501530,0.11,2000
31501530,0.11,1999
31501530,0.11,1998
31501530,0.11,1997
31501530,0.11,1996
31501530,0.11,1995
31501510,,2007
31501530,0.11,2004
31501510,,2005
31501530,0.11,2005
31501510,,2003
31501510,,2002
31501510,,2001
31501510,,2000
31501510,,1999
31501510,,1998
31501510,,1997
31501510,,1996
31501510,,1995
31501556,,2004
31501510,,2006
31501553,0.12,2003
31502531,,1997
31501556,,2002
31501556,,2001
31501556,,2000
31501556,,1999
31501556,,1998
31501556,,1997
31501556,,1996
31501553,0.12,2007
31501553,0.12,2006
31501530,0.11,2003
31501553,0.12,2004
31501493,,2006
31501553,0.12,2002
31501553,0.12,2001
31501553,0.12,2000
31501553,0.12,1999
31501553,0.12,1998
31501553,0.12,1997
31501553,0.12,1996
31501553,0.12,1995
31501530,0.11,2007
31501530,0.11,2006
31501553,0.12,2005
31501250,,2003
31501495,,1995
31501293,,2003
31501293,,2002
31501293,,2001
31501293,,2000
31501293,,1999
31501293,,1998
31501293,,1995
31501250,,2007
31501250,,2006
31501293,,2005
31501250,,2004
31501293,,2006
31501250,,2002
31501250,,2001
31501250,,2000
31501250,,1999
31501250,,1998
31501250,,1995
31501230,,1995
31501100,,2007
31501100,,2006
31501100,,2005
31501250,,2005
31501295,,2006
31501493,,2005
31501493,,2004
31501493,,2003
31501493,,2002
31501493,,2001
31501493,,2000
31501493,,1999
31501493,,1998
31501493,,1997
31501493,,1996
31501293,,2004
31501295,,2007
31501556,,2005
31501295,,2005
31501295,,2004
31501295,,2003
31501295,,2002
31501295,,2001
31501295,,2000
31501295,,1999
31501295,,1998
31501295,,1995
31501293,,2007
31501493,,1995
31502205,,1999
31502203,,1996
31502209,,2002
31502209,,2001
31502209,,2000
31502209,,1999
31502209,,1998
31502209,,1997
31502209,,1996
31502209,,1995
31502205,,2002
31502400,0.6,1996
31502205,,2000
31502400,0.6,1997
31502205,,1998
31502205,,1997
31502205,,1996
31502205,,1995
31502203,,2002
31502203,,2001
31502203,,2000
31502203,,1999
31502203,,1998
31501556,,2003
31502205,,2001
31502530,,1995
31502530,,2007
31502530,,2006
31502530,,2005
31502530,,2004
31502530,,2003
31502530,,2002
31502530,,2001
31502530,,2000
31502530,,1999
31502530,,1998
31502400,0.6,1995
31502530,,1996
31502203,,1995
31502400,0.6,2007
31502400,0.6,2006
31502400,0.6,2005
31502400,0.6,2004
31502400,0.6,2003
31502400,0.6,2002
31502400,0.6,2001
31502400,0.6,2000
31502400,0.6,1999
31502400,0.6,1998
31502530,,1997
31501559,,2003
31502203,,1997
31501570,,2004
31501570,,2003
31501570,,2002
31501570,,2001
31501570,,2000
31501570,,1999
31501570,,1998
31501559,,2007
31501559,,2006
31501570,,2006
31501559,,2004
31501570,,2007
31501559,,2002
31501559,,2001
31501559,,2000
31501559,,1999
31501559,,1998
31501559,,1997
31501559,,1996
31501559,,1995
31501556,,2007
31501556,,2006
31501559,,2005
31502200,0.6,1995
31502200,0.6,2007
31502200,0.6,2006
31502200,0.6,2005
31502200,0.6,2004
31502200,0.6,2003
31502200,0.6,2002
31502200,0.6,2001
31502200,0.6,2000
31502200,0.6,1999
31502200,0.6,1998
31501570,,2005
31502200,0.6,1996
29712470,,2000
31502100,,2007
31502100,,2006
31502100,,2005
31502100,,2004
31502100,,2003
31502100,,2002
31502100,,2001
31502100,,2000
31502100,,1999
31502100,,1998
31502200,0.6,1997
28241133,,2008
28241113,3.55,2009
28294330,,2009
28294330,,2008
28252050,,2009
28252050,,2008
28241190,2.05,2009
28241190,2.05,2008
28241150,2.9,2009
28241150,2.9,2008
28241135,2.28,2009
28294350,,2009
28241133,,2009
28931560,,2008
28241127,3.64,2009
28241127,3.64,2008
28241125,5.57,2009
28241125,5.57,2008
28241123,5.89,2009
28241123,5.89,2008
28241117,3.13,2009
28241117,3.13,2008
28241115,5.7,2009
29232050,,1996
28241135,2.28,2008
29231390,,2000
27903154,,2008
29232050,,1994
29232050,,1993
29232030,0.53,1995
29232030,0.53,1994
29232030,0.53,1993
29231390,,2006
29231390,,2005
29231390,,2004
29231390,,2003
28294350,,2008
29231390,,2001
28241113,3.55,2008
29231390,,1999
29231390,,1998
29231390,,1997
29231390,,1996
29231390,,1995
28993975,,2009
28993975,,2008
28942130,45.75,2009
28942130,45.75,2008
28931560,,2009
29231390,,2002
28221200,,2002
28241115,5.7,2008
28221203,,1998
28221203,,1997
28221203,,1996
28221203,,1995
28221203,,1994
28221203,,1993
28221200,,2007
28221200,,2006
28221200,,2005
28221203,,2000
28221200,,2003
28221203,,2001
28221200,,2001
28221200,,2000
28221200,,1999
28221200,,1998
28221200,,1997
28221200,,1996
28221200,,1995
28221200,,1994
28221200,,1993
29712470,,2002
28221200,,2004
28221205,,2002
28232100,,2009
28232100,,2008
28221207,,2002
28221207,,2001
28221207,,2000
28221207,,1999
28221207,,1998
28221207,,1997
28221207,,1996
28221207,,1995
28221203,,1999
28221207,,1993
29232050,,1997
28221205,,2001
28221205,,2000
28221205,,1999
28221205,,1998
28221205,,1997
28221205,,1996
28221205,,1995
28221205,,1994
28221205,,1993
28221203,,2002
28221207,,1994
29405223,5.89,2002
29405215,,2001
29405233,,1993
29405227,3.64,2002
29405227,3.64,2001
29405227,3.64,2000
29405227,3.64,1999
29405227,3.64,1998
29405225,5.57,2002
29405225,5.57,2001
29405225,5.57,2000
29405233,,1995
29405225,5.57,1998
29405233,,1996
29405223,5.89,2001
29405223,5.89,2000
29405223,5.89,1999
29405223,5.89,1998
29405217,,2002
29405217,,2001
29405217,,2000
29405217,,1999
29405217,,1998
29232050,,1995
29405225,5.57,1999
29405235,,1997
29405253,,1999
29405253,,1998
29405251,,2002
29405251,,2001
29405251,,2000
29405251,,1999
29405251,,1998
29405235,,2002
29405235,,2001
29405235,,2000
29405233,,1994
29405235,,1998
29405215,,2000
29405235,,1996
29405235,,1995
29405235,,1994
29405235,,1993
29405233,,2002
29405233,,2001
29405233,,2000
29405233,,1999
29405233,,1998
29405233,,1997
29405235,,1999
29232070,0.53,1993
29405215,,2002
29243330,,2003
29243330,,2002
29243330,,2001
29243330,,2000
29243330,,1999
29243330,,1998
29243330,,1997
29243330,,1996
29243330,,1995
29243330,,2005
29232070,0.53,1994
29243330,,2006
29232050,,2007
29232050,,2006
29232050,,2005
29232050,,2004
29232050,,2003
29232050,,2002
29232050,,2001
29232050,,2000
29232050,,1999
29232050,,1998
29232070,0.53,1995
29243350,,2004
29405215,,1999
29405215,,1998
29405213,,2002
29405213,,2001
29405213,,2000
29405213,,1999
29405213,,1998
29312310,,2009
29312310,,2008
29243350,,2007
29243330,,2004
29243350,,2005
27903145,,2009
29243350,,2003
29243350,,2002
29243350,,2001
29243350,,2000
29243350,,1999
29243350,,1998
29243350,,1997
29243350,,1996
29243350,,1995
29243330,,2007
29243350,,2006
26511215,,2009
26404355,,2008
26515175,,2008
26515135,,2009
26515135,,2008
26514555,,2009
26514555,,2008
26514330,,2009
26514330,,2008
26511239,,2009
26511239,,2008
26515235,,2008
26511235,,2008
26515235,,2009
26511215,,2008
26406000,2.0,2009
26406000,2.0,2008
26404400,,2009
26404400,,2008
26404370,3.8,2009
26404370,3.8,2008
26404359,3.21,2009
26404359,3.21,2008
26517015,0.15,2009
26511235,,2009
26515383,,2008
27903154,,2009
26516670,,2009
26516670,,2008
26516650,,2009
26516650,,2008
26516370,,2009
26516370,,2008
26516255,,2009
26516255,,2008
26516210,,2009
26515175,,2009
26515383,,2009
26404270,,2008
26404270,,2009
26404270,,2010
26521100,0.08,2008
26521100,0.08,2009
26515381,,2009
26515381,,2008
26515313,,2009
26515313,,2008
26515283,,2009
26515283,,2008
26515271,,2009
26515271,,2008
26515239,,2009
26515239,,2008
26516210,,2008
26201500,9.39,2009
26404355,,2009
26301300,0.66,2008
26301200,,2009
26301200,,2008
26301100,,2009
26301100,,2008
26203000,,2009
26203000,,2008
26201800,10.32,2009
26201800,10.32,2008
26302100,0.45,2008
26302100,0.45,2009
26201500,9.39,2008
26201400,9.5,2009
26201400,9.5,2008
26201300,8.0,2009
26201300,8.0,2008
26201200,,2009
26201100,,2009
26201100,,2008
26122000,0.4,2009
26122000,0.4,2008
26404239,,2009
26404239,,2008
26404237,,2009
26404237,,2008
26404235,,2009
26404235,,2008
26404100,,2009
26404100,,2008
26521100,0.08,2010
26403460,,2009
26301300,0.66,2009
26522830,,2008
26305080,,2009
26305080,,2008
26305020,,2009
26305020,,2008
26302340,,2009
26302340,,2008
26302330,0.5,2009
26302330,0.5,2008
26302200,0.09,2009
26302200,0.09,2008
26403460,,2008
27512200,0.52,2009
27403300,,2008
27512450,1.54,2008
27512370,1.5,2009
27512370,1.5,2008
27512350,1.57,2009
27512350,1.57,2008
27512330,,2009
27512330,,2008
27512315,0.4,2009
27512315,0.4,2008
27512490,3.36,2008
27512313,0.6,2008
27512490,3.36,2009
27512200,0.52,2008
27511530,2.9,2009
27511530,2.9,2008
27511400,1.81,2009
27511400,1.81,2008
27403930,,2009
27403930,,2008
27403910,,2009
27403910,,2008
26517015,0.15,2008
27512313,0.6,2009
27512900,,2008
27903145,,2008
27903118,14.0,2009
27903118,14.0,2008
27903109,,2009
27903109,,2008
27902080,6.5,2009
27902080,6.5,2008
27902050,,2009
27902050,,2008
27902020,,2009
27512450,1.54,2009
27512900,,2009
27403200,0.4,2009
27512835,6.7,2009
27512835,6.7,2008
27512570,0.5,2009
27512570,0.5,2008
27512550,1.61,2009
27512550,1.61,2008
27512530,1.01,2009
27512530,1.01,2008
27902020,,2008
26701530,,2009
27403300,,2009
27401293,,2008
27401250,,2009
27401250,,2008
27401100,,2009
27401100,,2008
27115040,1.54,2009
27115040,1.54,2008
269900Z0,,2009
269900Z0,,2008
27401295,,2008
26701550,,2008
27401295,,2009
26701530,,2008
26701400,0.5,2009
26701400,0.5,2008
26701250,0.5,2009
26701250,0.5,2008
26601280,0.75,2009
26601280,0.75,2008
26601230,,2009
26601230,,2008
26522830,,2009
26701550,,2009
27401550,0.12,2008
27403200,0.4,2008
27402500,,2009
27402500,,2008
27402400,0.6,2009
27402400,0.6,2008
27402200,0.6,2009
27402200,0.6,2008
27402100,,2009
27402100,,2008
27401570,0.12,2009
27401293,,2009
27401550,0.12,2009
29405253,,2002
27401530,0.11,2009
27401530,0.11,2008
27401510,0.12,2009
27401510,0.12,2008
27401490,0.12,2009
27401490,0.12,2008
27401460,,2009
27401460,,2008
27401300,,2009
27401300,,2008
27401570,0.12,2008
29712230,0.52,1994
29712180,,1997
29712230,0.52,2005
29712230,0.52,2004
29712230,0.52,2003
29712230,0.52,2002
29712230,0.52,2001
29712230,0.52,2000
29712230,0.52,1999
29712230,0.52,1998
29712230,0.52,1997
29712230,0.52,2007
29712230,0.52,1995
29712250,,1993
29712230,0.52,1993
29712180,,2006
29712180,,2005
29712180,,2004
29712180,,2003
29712180,,2002
29712180,,2001
